[09/May/2023 16:44:04] INFO [django.utils.autoreload:677] Watching for file changes with StatReloader
[09/May/2023 16:44:04] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\providers\facebook\templates with glob **/*.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django_filters\templates with glob **/*.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\templates with glob **/*.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\templates with glob **/*.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\categories\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\discounts\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\orders\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\events\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\users\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\venues\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\media\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\dj_rest_auth\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\dj_rest_auth\registration\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\account\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\providers\google\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\authentication\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\tickets\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\attendees\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django_filters\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\providers\facebook\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\corsheaders\locale with glob **/*.mo.
[09/May/2023 16:44:07] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\ticketwave\tags\locale with glob **/*.mo.
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1681506458.0499651
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\dj_rest_auth\utils.py first seen with mtime 1676254141.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\asgiref\sync.py first seen with mtime 1677323049.7529624
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\win32com\__init__.py first seen with mtime 1677274004.979739
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_utils.py first seen with mtime 1670350170.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\adapter.py first seen with mtime 1671805844.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\dns\rdtypes\ANY\SOA.py first seen with mtime 1679579856.7697911
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\shortcuts.py first seen with mtime 1681506451.2429674
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\attr\converters.py first seen with mtime 1672942633.4508932
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1681506459.7420876
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\dns\win32util.py first seen with mtime 1679579856.879697
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\corsheaders\checks.py first seen with mtime 1681167960.5507276
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1681506454.1063097
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\cryptography\hazmat\bindings\__init__.py first seen with mtime 1679570492.2561755
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\djongo\features.py first seen with mtime 1598864284.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework_simplejwt\utils.py first seen with mtime 1679580596.23294
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\psycopg2\_ipaddress.py first seen with mtime 1681506446.9391177
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\hashable.py first seen with mtime 1681506459.7780285
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1681506459.755597
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1681506459.1815574
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\Ticketwave\tickets\serlializers.py first seen with mtime 1683634751.636329
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\dns\name.py first seen with mtime 1679579856.6432934
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\social_core\utils.py first seen with mtime 1681506470.517023
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\app_settings.py first seen with mtime 1663140442.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\pymongo\hello.py first seen with mtime 1638915869.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\asyncio\protocols.py first seen with mtime 1670350170.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\xml\dom\minicompat.py first seen with mtime 1670350172.0
